pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1707.08233,qwen-plus,contract,98.5,99.1,100.0,4326,4261,1317,1305,99.9,99.6,,247,47666,24676,0.0875,True
1707.08233,qwen-plus,naive,49.6,28.3,100.0,4326,2145,1317,373,98.9,93.1,,247,32405,19125,0.0642,True
1707.08236,qwen-plus,contract,99.7,99.5,100.0,5389,5372,1251,1245,99.8,99.4,,257,47347,25553,0.089,True
1707.08236,qwen-plus,naive,59.7,28.3,100.0,5389,3219,1251,354,97.8,88.3,,257,30086,19656,0.0634,True
1711.11294,qwen-plus,contract,96.5,100.0,100.0,1139,1099,228,228,100.0,99.9,,103,13895,8358,0.0278,True
1711.11294,qwen-plus,naive,59.1,42.1,100.0,1139,673,228,96,90.5,68.9,,103,10435,7153,0.0227,True
1711.07629,qwen-plus,contract,99.0,98.5,100.0,2072,2052,398,392,99.9,99.6,,152,28427,17796,0.0583,True
1711.07629,qwen-plus,naive,59.6,41.7,100.0,2072,1234,398,166,99.0,97.0,,152,24038,13231,0.0457,True
1712.08160,qwen-plus,contract,94.5,98.6,100.0,550,520,144,142,100.0,99.8,,146,13180,8769,0.0281,True
1712.08160,qwen-plus,naive,44.2,20.8,100.0,550,243,144,30,98.6,89.9,,146,11299,7924,0.0249,True
1711.09072,qwen-plus,contract,97.3,99.8,100.0,1054,1026,431,430,99.7,99.6,,77,19470,12885,0.0413,True
1711.09072,qwen-plus,naive,31.2,12.8,100.0,1054,329,431,55,88.2,39.0,,77,14078,9935,0.0311,True
1801.02460,qwen-plus,contract,98.8,100.0,100.0,1600,1581,245,245,100.0,99.9,,93,13881,9928,0.031,True
1801.02460,qwen-plus,naive,68.8,27.3,100.0,1600,1101,245,67,98.6,89.8,,93,10390,7549,0.0234,True
1802.09265,qwen-plus,contract,99.6,100.0,100.0,898,894,129,129,100.0,100.0,,30,7698,5757,0.0177,True
1802.09265,qwen-plus,naive,66.9,28.7,100.0,898,601,129,37,99.8,96.1,,30,6321,4517,0.0141,True
1801.03707,qwen-plus,contract,99.2,100.0,100.0,483,479,177,177,100.0,100.0,,106,19177,11822,0.039,True
1801.03707,qwen-plus,naive,43.5,31.1,100.0,483,210,177,55,98.1,88.7,,106,16244,9924,0.0328,True
1802.00864,qwen-plus,contract,95.3,99.3,100.0,619,590,139,138,100.0,99.9,,212,20222,11090,0.0384,True
1802.00864,qwen-plus,naive,54.8,31.7,100.0,619,339,139,44,100.0,100.0,,212,16000,10008,0.0328,True
1803.00885,qwen-plus,contract,97.3,100.0,100.0,1283,1248,180,180,100.0,99.9,,133,13126,9646,0.0298,True
1803.00885,qwen-plus,naive,75.9,47.2,100.0,1283,974,180,85,99.6,93.3,,133,10669,7745,0.024,True
1803.00135,qwen-plus,contract,99.4,100.0,100.0,869,864,286,286,100.0,99.9,,58,15147,10887,0.0339,True
1803.00135,qwen-plus,naive,37.4,16.4,100.0,869,325,286,47,87.5,39.5,,58,12275,9018,0.0279,True
1803.04179,qwen-plus,contract,97.8,98.5,100.0,1058,1035,337,332,99.5,98.6,,87,21896,13739,0.045,True
1803.04179,qwen-plus,naive,47.6,29.1,100.0,1058,504,337,98,86.8,62.8,,87,16153,11961,0.0368,True
1803.04223,qwen-plus,contract,97.2,100.0,100.0,1699,1652,283,283,99.6,99.9,,126,17339,11772,0.0374,True
1803.04223,qwen-plus,naive,71.8,41.7,100.0,1699,1220,283,118,98.3,86.6,,126,14419,9704,0.0309,True
1804.08545,qwen-plus,contract,94.4,99.4,100.0,500,472,155,154,99.9,99.8,,61,12126,8274,0.0262,True
