pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1609.06247,glm-4.7,contract,98.8,99.7,100.0,2337,2308,793,791,99.6,98.9,,265,18869,13745,0.0426,True
1609.06247,kimi-k2.5,contract,99.0,100.0,100.0,2337,2314,793,793,100.0,100.0,,265,16641,15266,0.0438,True
1609.06247,minimax-m2.5,contract,98.8,99.6,100.0,2337,2310,793,790,100.0,100.0,,265,18939,21805,0.0588,True
1610.04546,qwen3.7-plus-nothink,contract,92.9,,100.0,252,234,0,0,99.7,,,91,11114,6810,0.0742,True
1610.04546,qwen3-max-2026-01-23,contract,92.9,,100.0,252,234,0,0,99.7,,,91,10992,6319,0.087,True
1610.04546,glm-4.7,contract,94.8,,100.0,252,239,0,0,99.7,,,91,10788,6404,0.0214,True
1610.04546,kimi-k2.5,contract,77.8,,100.0,252,196,0,0,94.4,,,91,8748,3979,0.015,True
1610.04546,minimax-m2.5,contract,92.9,,100.0,252,234,0,0,99.7,,,91,10612,14909,0.0383,True
1610.05885,qwen3.7-plus-nothink,contract,94.8,98.2,100.0,1879,1782,651,639,100.0,100.0,,152,15133,10284,0.1071,True
1610.05885,qwen3-max-2026-01-23,contract,94.8,98.0,100.0,1879,1782,651,638,100.0,100.0,,152,14980,9267,0.1249,True
1610.05885,glm-4.7,contract,95.1,98.3,100.0,1879,1786,651,640,100.0,100.0,,152,14595,9388,0.0305,True
1610.05885,kimi-k2.5,contract,95.5,98.3,100.0,1879,1794,651,640,100.0,100.0,,152,11616,8736,0.0268,True
1610.05885,minimax-m2.5,contract,96.6,98.0,100.0,1879,1816,651,638,100.0,99.9,,152,14362,19635,0.0508,True
1611.00590,qwen3.7-plus-nothink,contract,98.6,100.0,100.0,2387,2354,758,758,100.0,99.9,,133,16902,10879,0.116,True
1611.00590,qwen3-max-2026-01-23,contract,98.7,100.0,100.0,2387,2357,758,758,100.0,99.9,,133,16917,10602,0.1424,True
1611.00590,glm-4.7,contract,98.6,100.0,100.0,2387,2354,758,758,100.0,99.9,,133,16552,10221,0.0337,True
1611.00590,kimi-k2.5,contract,98.7,100.0,100.0,2387,2355,758,758,100.0,100.0,,133,13997,14447,0.0401,True
1611.00590,minimax-m2.5,contract,98.5,99.9,100.0,2387,2352,758,757,99.2,99.4,,133,16203,15376,0.0437,True
1611.07079,qwen3.7-plus-nothink,contract,99.1,100.0,100.0,894,886,182,182,100.0,100.0,,88,20214,12243,0.1341,True
1611.07079,qwen3-max-2026-01-23,contract,99.1,100.0,100.0,894,886,182,182,100.0,100.0,,88,20082,11716,0.1607,True
1611.07079,glm-4.7,contract,99.1,100.0,100.0,894,886,182,182,100.0,100.0,,88,19763,11554,0.0389,True
1611.07079,kimi-k2.5,contract,99.6,100.0,100.0,894,890,182,182,100.0,100.0,,88,18053,14119,0.0427,True
1611.07079,minimax-m2.5,contract,98.5,97.3,100.0,894,881,182,177,99.6,97.2,,88,19440,21149,0.0578,True
1701.01189,qwen3.7-plus-nothink,contract,93.7,100.0,100.0,522,489,147,147,99.5,99.9,,80,14568,9682,0.1018,True
1701.01189,qwen3-max-2026-01-23,contract,93.7,100.0,100.0,522,489,147,147,99.5,99.9,,80,14453,9544,0.1263,True
1701.01189,glm-4.7,contract,93.7,100.0,100.0,522,489,147,147,99.5,99.9,,80,14208,9298,0.03,True
1701.01189,kimi-k2.5,contract,82.0,98.6,100.0,522,428,147,145,99.0,100.0,,80,12177,12010,0.0338,True
1701.01189,minimax-m2.5,contract,93.5,99.3,100.0,522,488,147,146,99.5,99.9,,80,14031,12816,0.0369,True
1701.05828,qwen3.7-plus-nothink,contract,98.6,100.0,100.0,1319,1301,443,443,100.0,100.0,,74,12350,8489,0.088,True
1701.05828,qwen3-max-2026-01-23,contract,98.6,99.8,100.0,1319,1300,443,442,100.0,100.0,,74,12298,8171,0.108,True
1701.05828,glm-4.7,contract,98.5,100.0,100.0,1319,1299,443,443,100.0,100.0,,74,12038,7976,0.0256,True
1701.05828,kimi-k2.5,contract,98.8,100.0,100.0,1319,1303,443,443,100.0,100.0,,74,10619,11169,0.0308,True
1701.05828,minimax-m2.5,contract,98.8,99.3,100.0,1319,1303,443,440,99.7,99.3,,74,11880,12099,0.0337,True
1701.07389,qwen3.7-plus-nothink,contract,98.9,100.0,100.0,1934,1913,581,581,99.9,99.7,,82,15916,11654,0.1177,True
1701.07389,qwen3-max-2026-01-23,contract,98.9,100.0,100.0,1934,1913,581,581,99.8,99.4,,82,15842,11227,0.1458,True
1701.07389,glm-4.7,contract,98.9,100.0,100.0,1934,1913,581,581,99.9,99.6,,82,15502,10575,0.0336,True
1701.07389,kimi-k2.5,contract,99.2,100.0,100.0,1934,1919,581,581,100.0,100.0,,82,13607,13155,0.0372,True
1701.07389,minimax-m2.5,contract,98.7,99.5,100.0,1934,1908,581,578,98.7,99.6,,82,15413,19501,0.0513,True
1701.07681,qwen3.7-plus-nothink,contract,94.4,100.0,100.0,763,720,147,147,99.9,99.8,,119,17020,12781,0.1277,True
1701.07681,qwen3-max-2026-01-23,contract,94.4,100.0,100.0,763,720,147,147,99.9,99.9,,119,16932,12575,0.1614,True
1701.07681,glm-4.7,contract,94.8,100.0,100.0,763,723,147,147,99.9,99.8,,119,16625,12267,0.0378,True
1701.07681,kimi-k2.5,contract,94.4,100.0,100.0,763,720,147,147,99.9,100.0,,119,14591,19222,0.0501,True
1701.07681,minimax-m2.5,contract,94.4,100.0,100.0,763,720,147,147,99.9,99.9,,119,16465,21769,0.0567,True
1702.00917,qwen3.7-plus-nothink,contract,98.8,100.0,100.0,2601,2569,1967,1967,99.8,99.8,,101,35382,23517,0.2472,True
